"Choice","Age","Female","Income","Education","Job"
"CCB",39,1,7,2,"Student"
"CCB",35,0,4,3,"Unemployed"
"BOC",66,0,6,4,"Student"
"CCB",56,0,3,3,"Government"
"CCB",58,0,3,4,"Industry"
"CCB",26,1,2,5,"Retired"
"BOC",36,0,4,4,"Service"
"CCB",32,0,6,2,"Retired"
"CCB",69,0,7,2,"Student"
"BOC",65,0,3,2,"Retired"
"BOC",67,1,1,1,"Service"
"ICBC",34,0,3,4,"Industry"
"BOC",66,0,6,4,"Government"
"CCB",46,0,7,1,"Student"
"BOC",40,1,3,4,"Unemployed"
"CCB",55,0,1,3,"Unemployed"
"CCB",40,1,6,3,"Unemployed"
"CCB",40,0,7,1,"Retired"
"CCB",34,0,5,1,"Retired"
"BOC",52,1,4,4,"Government"
"BOC",31,1,1,3,"Service"
"CCB",22,1,1,4,"Industry"
"BOC",63,1,5,5,"Service"
"BOC",31,0,2,3,"Service"
"CCB",68,0,6,5,"Government"
"BOC",28,0,1,3,"Industry"
"CCB",47,0,6,3,"Education"
"CCB",68,0,7,3,"Unemployed"
"CCB",64,1,4,5,"Education"
"ABC",30,1,4,2,"Retired"
"BOC",49,1,2,5,"Unemployed"
"CCB",66,1,2,3,"Unemployed"
"BOC",62,1,5,5,"Industry"
"ICBC",40,1,3,3,"Service"
"ABC",69,1,3,1,"Retired"
"CCB",42,1,4,4,"Service"
"BOC",22,0,3,5,"Service"
"ABC",46,0,1,1,"Student"
"CCB",48,0,3,3,"Education"
"ABC",61,0,4,2,"Retired"
"CCB",32,0,7,3,"Education"
"CCB",74,0,4,4,"Finance"
"CCB",74,0,5,1,"Student"
"ABC",53,0,2,2,"Retired"
"BOC",45,1,1,2,"Government"
"CCB",65,0,2,5,"Education"
"CCB",58,0,2,5,"Retired"
"CCB",36,1,2,2,"Education"
"BOC",44,0,2,3,"Student"
"CCB",60,0,6,4,"Education"
"CCB",65,1,5,4,"Industry"
"BOC",72,0,1,2,"Government"
"CCB",69,1,5,2,"Service"
"CCB",49,0,5,4,"Education"
"BOC",55,1,7,5,"Finance"
"CCB",62,1,6,3,"Education"
"BOC",62,1,5,3,"Unemployed"
"CCB",30,1,7,2,"Industry"
"BOC",21,0,7,5,"Education"
"CCB",49,1,3,5,"Unemployed"
"CCB",72,1,2,4,"Service"
"BOC",31,0,1,3,"Service"
"CCB",27,1,3,3,"Government"
"CCB",42,1,3,4,"Service"
"CCB",61,0,7,2,"Service"
"BOC",60,1,5,4,"Service"
"BOC",72,0,3,5,"Education"
"BOC",28,0,5,3,"Industry"
"CCB",18,0,2,4,"Student"
"CCB",66,1,1,1,"Government"
"BOC",59,1,6,4,"Retired"
"BOC",19,0,4,5,"Student"
"CCB",44,1,3,2,"Education"
"CCB",72,1,7,1,"Service"
"CCB",38,1,6,2,"Government"
"CCB",53,1,4,3,"Service"
"BOC",44,1,5,2,"Retired"
"ICBC",44,1,1,2,"Industry"
"BOC",35,0,4,4,"Finance"
"CCB",20,0,2,5,"Industry"
"ABC",60,0,2,2,"Retired"
"BOC",69,1,3,5,"Industry"
"CCB",39,0,5,3,"Service"
"BOC",50,0,1,2,"Unemployed"
"BOC",43,0,4,2,"Unemployed"
"BOC",54,1,4,3,"Industry"
"CCB",58,0,4,4,"Industry"
"BOC",28,0,7,5,"Unemployed"
"ICBC",38,0,1,1,"Education"
"BOC",70,1,1,4,"Industry"
"CCB",44,0,7,2,"Finance"
"ICBC",50,0,6,3,"Student"
"CCB",74,1,3,2,"Student"
"CCB",46,0,1,4,"Student"
"BOC",19,0,5,3,"Education"
"CCB",59,0,7,2,"Unemployed"
"CCB",19,1,4,4,"Finance"
"BOC",29,1,1,4,"Service"
"CCB",72,1,7,3,"Finance"
"CCB",72,1,5,5,"Service"
"ICBC",32,0,4,1,"Service"
"BOC",40,0,3,5,"Education"
"BOC",58,1,2,5,"Government"
"BOC",20,1,2,3,"Finance"
"CCB",30,1,6,5,"Education"
"BOC",67,1,3,5,"Unemployed"
"BOC",57,1,7,5,"Service"
"CCB",71,1,7,1,"Student"
"BOC",27,1,2,4,"Student"
"BOC",27,1,4,2,"Student"
"BOC",24,0,5,3,"Finance"
"CCB",55,0,7,5,"Unemployed"
"CCB",40,0,7,1,"Finance"
"CCB",21,0,6,2,"Government"
"CCB",62,1,4,4,"Finance"
"CCB",22,0,2,4,"Service"
"ABC",69,1,1,2,"Retired"
"CCB",73,1,6,3,"Retired"
"BOC",33,0,6,3,"Industry"
"CCB",65,0,4,2,"Student"
"CCB",59,0,4,2,"Finance"
"BOC",27,1,7,4,"Service"
"BOC",37,0,4,1,"Government"
"CCB",56,1,6,2,"Service"
"CCB",60,0,6,4,"Government"
"BOC",50,1,7,4,"Service"
"BOC",34,1,1,3,"Student"
"CCB",73,1,2,4,"Unemployed"
"BOC",57,0,2,3,"Finance"
"BOC",24,0,2,2,"Retired"
"ICBC",57,1,5,1,"Finance"
"CCB",72,0,6,1,"Unemployed"
"BOC",35,0,7,2,"Service"
"ICBC",41,1,5,1,"Industry"
"CCB",22,1,2,2,"Government"
"ICBC",42,0,6,2,"Retired"
"BOC",22,1,7,1,"Unemployed"
"BOC",52,1,2,4,"Government"
"BOC",53,1,5,3,"Unemployed"
"BOC",51,1,5,5,"Industry"
"CCB",61,0,5,4,"Industry"
"BOC",26,1,4,2,"Service"
"BOC",74,1,5,3,"Government"
"ABC",32,1,3,1,"Service"
"CCB",58,0,5,4,"Service"
"BOC",47,1,3,1,"Education"
"ICBC",75,1,1,1,"Retired"
"BOC",56,0,7,5,"Finance"
"BOC",67,0,5,4,"Unemployed"
"BOC",64,0,1,5,"Finance"
"CCB",64,1,7,3,"Industry"
"ABC",67,0,5,2,"Retired"
"CCB",25,0,3,1,"Government"
"CCB",43,1,5,1,"Service"
"BOC",25,1,5,4,"Education"
"CCB",70,1,7,5,"Unemployed"
"BOC",32,0,7,1,"Finance"
"BOC",27,0,7,3,"Unemployed"
"CCB",62,1,6,1,"Education"
"ABC",20,1,1,4,"Retired"
"CCB",28,1,6,4,"Industry"
"BOC",35,0,1,4,"Retired"
"BOC",30,1,3,4,"Finance"
"CCB",38,0,3,5,"Government"
"BOC",41,1,5,5,"Government"
"CCB",25,0,3,2,"Industry"
"BOC",22,1,2,2,"Government"
"CCB",41,0,3,1,"Unemployed"
"CCB",59,0,5,5,"Industry"
"CCB",22,0,4,4,"Industry"
"BOC",46,0,7,4,"Unemployed"
"CCB",75,0,4,3,"Education"
"BOC",70,1,3,5,"Service"
"CCB",62,0,2,1,"Finance"
"CCB",38,1,5,1,"Industry"
"BOC",67,0,3,3,"Finance"
"CCB",62,1,7,3,"Government"
"BOC",31,1,1,3,"Student"
"BOC",32,1,4,4,"Service"
"BOC",60,1,4,5,"Student"
"BOC",52,0,5,3,"Unemployed"
"CCB",42,0,7,2,"Education"
"CCB",21,0,2,2,"Government"
"BOC",27,1,2,5,"Finance"
"BOC",21,0,2,1,"Student"
"CCB",22,0,7,1,"Finance"
"CCB",57,0,2,4,"Service"
"CCB",74,0,4,5,"Government"
"BOC",48,0,7,2,"Unemployed"
"BOC",71,1,5,3,"Finance"
"BOC",72,0,4,5,"Retired"
"BOC",35,1,3,3,"Student"
"ICBC",74,0,4,1,"Government"
"BOC",40,1,4,1,"Service"
"BOC",28,0,6,5,"Finance"
"BOC",63,1,4,5,"Industry"
"CCB",64,1,6,1,"Industry"
"CCB",69,1,4,5,"Education"
"CCB",24,0,3,3,"Finance"
"BOC",65,1,6,4,"Service"
"CCB",40,1,6,1,"Service"
"CCB",25,1,7,4,"Education"
"ICBC",60,1,6,1,"Finance"
"BOC",49,1,2,4,"Retired"
"CCB",74,0,4,3,"Finance"
"CCB",42,0,3,3,"Industry"
"CCB",49,0,3,5,"Finance"
"CCB",71,1,7,5,"Service"
"CCB",63,0,4,2,"Education"
"BOC",72,1,3,5,"Retired"
"CCB",39,0,5,3,"Unemployed"
"CCB",63,1,7,4,"Retired"
"CCB",48,0,5,2,"Unemployed"
"CCB",46,1,4,3,"Retired"
"ICBC",58,0,2,1,"Retired"
"CCB",39,1,4,1,"Education"
"CCB",34,0,6,3,"Student"
"CCB",58,0,2,3,"Service"
"BOC",30,0,1,3,"Education"
"BOC",64,1,3,3,"Student"
"BOC",44,1,1,4,"Service"
"BOC",30,1,6,2,"Education"
"BOC",26,0,2,2,"Unemployed"
"CCB",47,1,7,3,"Government"
"CCB",37,1,2,1,"Industry"
"BOC",38,1,6,5,"Finance"
"CCB",39,0,4,4,"Service"
"CCB",71,0,1,3,"Service"
"ABC",32,0,4,2,"Retired"
"BOC",26,1,3,5,"Student"
"BOC",49,0,7,5,"Finance"
"CCB",66,1,4,2,"Unemployed"
"CCB",46,1,7,2,"Retired"
"BOC",46,1,4,5,"Finance"
"CCB",26,0,7,2,"Finance"
"CCB",40,0,5,5,"Retired"
"CCB",71,0,2,2,"Industry"
"BOC",57,0,3,4,"Student"
"CCB",54,1,5,1,"Unemployed"
"BOC",42,0,5,3,"Service"
"ICBC",52,0,1,4,"Retired"
"BOC",18,0,6,1,"Student"
"BOC",68,0,5,3,"Service"
"ICBC",59,0,7,5,"Retired"
"CCB",18,1,5,2,"Unemployed"
"CCB",44,0,7,4,"Unemployed"
"BOC",32,0,2,5,"Service"
"CCB",43,0,3,1,"Student"
"BOC",67,1,2,3,"Unemployed"
"BOC",28,0,3,2,"Industry"
"CCB",55,0,1,1,"Industry"
"BOC",71,1,1,3,"Student"
"CCB",28,1,5,3,"Government"
"CCB",75,0,6,5,"Government"
"CCB",50,0,6,1,"Government"
"CCB",71,1,4,5,"Finance"
"CCB",21,1,6,1,"Student"
"CCB",36,1,7,4,"Student"
"BOC",46,1,2,4,"Retired"
"BOC",68,0,2,5,"Retired"
"CCB",20,0,5,1,"Industry"
"CCB",75,0,2,5,"Unemployed"
"CCB",25,0,1,1,"Industry"
"CCB",33,0,6,1,"Retired"
"ICBC",53,0,2,1,"Industry"
"CCB",74,1,2,3,"Finance"
"BOC",50,0,3,3,"Student"
"CCB",45,0,4,3,"Industry"
"CCB",24,0,4,5,"Service"
"CCB",64,1,6,1,"Education"
"BOC",26,1,7,4,"Service"
"CCB",70,0,6,2,"Unemployed"
"BOC",50,0,4,5,"Student"
"BOC",26,0,1,3,"Retired"
"CCB",70,1,7,1,"Education"
"CCB",26,1,3,2,"Service"
"CCB",52,1,6,2,"Retired"
"CCB",43,1,6,3,"Student"
"BOC",64,1,6,5,"Finance"
"CCB",75,0,3,4,"Unemployed"
"BOC",51,0,1,1,"Education"
"BOC",63,0,4,5,"Finance"
"ICBC",60,1,3,3,"Unemployed"
"BOC",20,1,3,5,"Education"
"CCB",34,0,1,2,"Service"
"CCB",31,0,6,4,"Government"
"BOC",50,1,5,2,"Finance"
"CCB",41,1,3,5,"Student"
"BOC",44,1,2,4,"Education"
"CCB",54,0,4,5,"Finance"
"BOC",34,1,1,4,"Government"
"CCB",49,1,6,5,"Government"
"ICBC",40,1,1,1,"Industry"
"BOC",48,1,4,2,"Education"
"BOC",61,1,6,2,"Education"
"CCB",20,0,2,4,"Industry"
"CCB",22,0,7,3,"Finance"
"CCB",48,0,6,1,"Retired"
"ICBC",54,1,6,2,"Service"
"CCB",42,0,5,2,"Student"
"CCB",24,1,1,1,"Education"
"BOC",50,0,3,3,"Retired"
"BOC",43,0,3,2,"Education"
"ICBC",55,1,5,2,"Unemployed"
"CCB",33,0,1,4,"Finance"
"CCB",42,1,5,4,"Retired"
"ABC",51,1,1,1,"Retired"
"BOC",20,1,6,2,"Education"
"CCB",64,1,7,4,"Industry"
"CCB",50,1,7,1,"Industry"
"BOC",37,1,3,4,"Unemployed"
"CCB",60,0,7,5,"Finance"
"CCB",48,1,6,2,"Industry"
"BOC",49,1,4,3,"Education"
"CCB",59,0,3,4,"Industry"
"BOC",24,1,6,5,"Retired"
"CCB",73,0,7,3,"Finance"
"BOC",31,0,7,5,"Service"
"BOC",23,1,2,1,"Retired"
"CCB",49,0,1,3,"Finance"
"CCB",35,1,6,1,"Service"
"BOC",19,1,6,4,"Government"
"CCB",54,0,5,1,"Education"
"CCB",30,1,7,1,"Government"
"CCB",22,0,1,5,"Government"
"CCB",36,0,2,3,"Education"
"BOC",34,1,4,3,"Government"
"BOC",66,0,2,3,"Student"
"CCB",37,1,7,1,"Unemployed"
"BOC",53,0,1,5,"Finance"
"CCB",48,1,5,2,"Service"
"CCB",73,1,3,2,"Education"
"CCB",65,0,1,1,"Industry"
"CCB",39,0,6,2,"Government"
"CCB",38,0,7,4,"Unemployed"
"CCB",24,1,7,1,"Service"
"CCB",42,1,6,2,"Education"
"BOC",56,1,2,5,"Unemployed"
"BOC",52,0,2,2,"Retired"
"BOC",42,1,5,1,"Retired"
"BOC",33,1,3,2,"Retired"
"BOC",58,0,6,5,"Government"
"BOC",29,0,6,5,"Unemployed"
"CCB",63,1,2,2,"Education"
"CCB",75,1,7,2,"Retired"
"BOC",27,1,3,3,"Retired"
"BOC",61,0,1,4,"Government"
"BOC",60,1,7,5,"Student"
"CCB",70,0,3,3,"Retired"
"BOC",61,0,4,4,"Education"
"CCB",30,0,6,5,"Retired"
"BOC",74,1,5,3,"Education"
"CCB",24,0,7,1,"Government"
"CCB",75,1,7,2,"Government"
"CCB",63,1,2,1,"Education"
"BOC",49,0,2,5,"Education"
"CCB",33,1,7,2,"Education"
"ABC",45,1,2,1,"Retired"
"CCB",61,0,1,5,"Finance"
"BOC",29,0,6,5,"Service"
"BOC",61,1,6,2,"Education"
"ICBC",73,0,2,1,"Industry"
"ICBC",42,1,4,3,"Student"
"CCB",75,0,6,1,"Unemployed"
"CCB",32,0,7,2,"Service"
"BOC",55,1,1,2,"Finance"
"BOC",39,1,5,5,"Student"
"BOC",66,1,2,4,"Retired"
"BOC",23,1,3,2,"Retired"
"CCB",70,1,6,2,"Student"
"CCB",35,0,4,3,"Industry"
"CCB",40,1,3,1,"Finance"
"CCB",56,0,7,1,"Education"
"CCB",33,1,5,1,"Government"
"CCB",75,1,5,1,"Finance"
"BOC",44,1,1,1,"Government"
"ICBC",55,1,3,1,"Retired"
"CCB",48,0,4,4,"Student"
"BOC",34,1,4,4,"Service"
"CCB",57,0,6,4,"Finance"
"BOC",32,1,1,4,"Education"
"BOC",36,1,2,2,"Service"
"CCB",74,0,4,3,"Finance"
"CCB",46,0,5,3,"Industry"
"CCB",67,1,6,1,"Service"
"CCB",32,1,5,2,"Unemployed"
"ICBC",54,0,2,5,"Student"
"BOC",60,0,1,5,"Unemployed"
"CCB",46,1,5,1,"Government"
"BOC",32,0,2,1,"Service"
"BOC",24,1,1,1,"Finance"
"BOC",31,0,2,4,"Education"
"CCB",24,1,1,2,"Service"
"CCB",65,1,6,4,"Service"
"CCB",30,0,7,2,"Government"
"ICBC",74,0,1,2,"Government"
"CCB",63,1,7,2,"Government"
"BOC",29,0,4,1,"Service"
"CCB",38,1,6,4,"Education"
"CCB",27,0,4,3,"Retired"
"BOC",49,1,2,2,"Retired"
"CCB",50,0,1,3,"Student"
"BOC",50,1,5,5,"Education"
"CCB",30,0,1,2,"Unemployed"
"BOC",26,1,1,3,"Student"
"CCB",56,0,7,2,"Finance"
"CCB",36,0,7,3,"Education"
"CCB",64,0,4,1,"Industry"
"BOC",35,1,5,4,"Retired"
"CCB",68,0,1,2,"Education"
"ICBC",74,1,2,3,"Unemployed"
"CCB",30,0,7,1,"Student"
"CCB",59,1,6,3,"Retired"
"CCB",35,1,4,1,"Industry"
"BOC",29,1,2,3,"Unemployed"
"CCB",36,0,5,2,"Government"
"ICBC",48,0,2,4,"Unemployed"
"BOC",40,0,2,1,"Finance"
"BOC",31,0,5,4,"Government"
"BOC",56,1,6,3,"Retired"
"ICBC",56,1,5,1,"Finance"
"CCB",54,0,7,3,"Retired"
"CCB",26,1,7,2,"Service"
"CCB",25,0,5,1,"Retired"
"BOC",73,1,1,5,"Industry"
"BOC",33,0,4,5,"Industry"
"BOC",18,0,2,2,"Retired"
"CCB",68,1,6,1,"Service"
"CCB",57,0,7,5,"Education"
"BOC",41,1,7,5,"Finance"
"CCB",32,1,7,5,"Education"
"CCB",65,1,5,4,"Government"
"ABC",64,0,1,2,"Retired"
"BOC",53,0,3,4,"Retired"
"BOC",70,1,7,4,"Unemployed"
"CCB",50,0,4,4,"Student"
"ICBC",26,0,1,3,"Retired"
"CCB",36,0,5,5,"Finance"
"CCB",68,0,4,1,"Education"
"ICBC",23,1,2,2,"Retired"
"CCB",47,1,2,2,"Finance"
"BOC",37,1,4,5,"Retired"
"CCB",73,1,2,1,"Government"
"CCB",50,0,7,2,"Finance"
"BOC",53,0,4,5,"Unemployed"
"CCB",51,0,5,4,"Finance"
"CCB",49,1,5,4,"Service"
"BOC",59,0,3,5,"Education"
"BOC",45,0,1,4,"Industry"
"ICBC",58,1,1,1,"Unemployed"
"CCB",36,1,7,1,"Education"
"BOC",21,1,5,4,"Retired"
"ICBC",55,0,2,2,"Service"
"BOC",23,0,3,3,"Industry"
"BOC",22,0,7,5,"Student"
"BOC",20,1,3,5,"Unemployed"
"CCB",52,1,7,2,"Student"
"BOC",45,1,2,3,"Unemployed"
"ICBC",61,0,6,1,"Government"
"CCB",49,1,7,4,"Finance"
"BOC",18,1,3,2,"Service"
"CCB",57,0,7,2,"Industry"
"CCB",42,0,4,5,"Student"
"BOC",71,0,6,3,"Industry"
"BOC",30,1,5,4,"Industry"
"CCB",37,0,4,5,"Student"
"CCB",30,0,7,5,"Student"
"BOC",48,1,1,5,"Student"
"CCB",35,0,3,4,"Government"
"CCB",33,1,6,1,"Finance"
"CCB",50,0,1,5,"Unemployed"
"CCB",71,1,2,4,"Industry"
"CCB",57,0,5,3,"Education"
"CCB",72,1,1,1,"Government"
"ICBC",45,0,2,1,"Retired"
"BOC",43,1,4,3,"Unemployed"
"CCB",43,0,5,3,"Finance"
"CCB",57,1,2,2,"Industry"
"ICBC",32,0,3,1,"Education"
"CCB",52,0,7,1,"Finance"
"ICBC",38,0,5,3,"Industry"
"CCB",70,1,2,5,"Service"
"BOC",66,0,1,2,"Government"
"CCB",43,0,5,5,"Government"
"BOC",63,1,4,2,"Government"
"ICBC",24,0,3,3,"Student"
"BOC",31,1,4,4,"Retired"
"BOC",20,1,7,4,"Unemployed"
"BOC",56,1,1,1,"Finance"
"BOC",45,0,1,5,"Government"
"CCB",33,1,3,1,"Finance"
"CCB",63,0,4,5,"Education"
"ICBC",60,0,1,1,"Service"
"BOC",38,1,5,2,"Retired"
"CCB",54,0,3,4,"Education"
"CCB",25,0,3,5,"Retired"
"CCB",33,0,4,2,"Unemployed"
"ICBC",67,0,2,1,"Service"
"CCB",39,1,5,1,"Industry"
"CCB",23,0,3,1,"Industry"
"CCB",60,0,6,3,"Service"
"BOC",28,1,4,5,"Retired"
"CCB",37,1,3,1,"Finance"
"BOC",28,1,4,3,"Unemployed"
"BOC",71,1,1,4,"Service"
"BOC",36,0,4,1,"Education"
"CCB",70,1,5,3,"Education"
"BOC",72,0,3,5,"Retired"
"CCB",39,0,7,5,"Unemployed"
"BOC",39,0,3,5,"Finance"
"CCB",68,0,4,4,"Finance"
"CCB",22,1,7,1,"Finance"
"BOC",66,1,7,4,"Retired"
"CCB",75,0,6,3,"Unemployed"
"CCB",32,1,5,5,"Unemployed"
"BOC",52,1,4,4,"Service"
"CCB",51,1,3,1,"Education"
"CCB",75,1,4,4,"Retired"
"CCB",44,1,1,4,"Education"
"BOC",34,1,2,3,"Education"
"ICBC",33,1,2,1,"Student"
"BOC",49,1,7,4,"Education"
"CCB",28,0,4,2,"Service"
"CCB",56,0,6,5,"Education"
"CCB",74,1,6,3,"Student"
"CCB",23,0,5,4,"Finance"
"CCB",41,1,5,2,"Student"
"CCB",33,1,1,3,"Government"
"CCB",37,1,2,3,"Student"
"ABC",73,1,1,1,"Retired"
"BOC",47,0,6,5,"Government"
"BOC",22,0,3,1,"Retired"
"BOC",41,0,2,4,"Industry"
"CCB",59,0,5,4,"Finance"
"BOC",22,0,2,3,"Finance"
"BOC",59,0,2,3,"Education"
"CCB",42,0,5,1,"Retired"
"BOC",21,0,4,3,"Unemployed"
"BOC",53,1,6,5,"Unemployed"
"BOC",29,1,1,5,"Government"
"CCB",24,0,5,1,"Student"
"BOC",20,1,7,1,"Unemployed"
"ICBC",19,1,5,1,"Unemployed"
"BOC",32,1,4,3,"Student"
"CCB",73,1,7,2,"Finance"
"CCB",64,0,7,2,"Service"
"CCB",48,0,6,1,"Government"
"BOC",28,0,2,2,"Finance"
"BOC",60,1,7,4,"Education"
"BOC",27,1,2,1,"Government"
"CCB",35,0,7,4,"Industry"
"ICBC",59,1,4,4,"Industry"
"CCB",45,0,5,2,"Service"
"CCB",67,1,7,2,"Service"
"BOC",27,0,2,2,"Student"
"CCB",27,0,3,1,"Industry"
"CCB",22,1,3,2,"Education"
"CCB",65,1,6,3,"Unemployed"
"BOC",35,0,2,2,"Industry"
"BOC",52,1,7,3,"Retired"
"BOC",36,1,6,5,"Service"
"BOC",25,0,2,4,"Industry"
"BOC",37,0,7,4,"Industry"
"BOC",34,0,4,2,"Service"
"CCB",71,0,2,5,"Education"
"CCB",74,1,2,1,"Education"
"CCB",72,0,7,1,"Unemployed"
"BOC",52,0,7,1,"Unemployed"
"BOC",51,0,3,5,"Unemployed"
"ABC",44,1,4,1,"Retired"
"ICBC",39,0,5,2,"Retired"
"CCB",53,1,4,5,"Industry"
"BOC",41,0,4,5,"Student"
"CCB",71,1,7,2,"Student"
"CCB",33,1,5,1,"Industry"
"CCB",62,0,2,2,"Student"
"CCB",62,1,3,3,"Student"
"BOC",34,1,6,4,"Unemployed"
"BOC",18,1,1,3,"Retired"
"BOC",30,0,2,1,"Education"
"CCB",62,1,6,4,"Service"
"CCB",41,1,2,2,"Unemployed"
"BOC",43,1,7,3,"Unemployed"
"CCB",26,1,5,5,"Unemployed"
"CCB",63,1,3,4,"Retired"
"CCB",27,0,5,1,"Student"
"BOC",23,0,4,4,"Education"
"ICBC",23,0,1,1,"Student"
"CCB",56,0,5,2,"Industry"
"BOC",23,0,7,4,"Education"
"BOC",32,1,6,5,"Unemployed"
"ICBC",65,0,7,2,"Student"
"BOC",59,1,2,3,"Student"
"BOC",21,0,7,5,"Finance"
"BOC",39,0,7,5,"Service"
"CCB",21,0,5,2,"Education"
"CCB",34,1,4,1,"Finance"
"BOC",41,1,1,5,"Unemployed"
"CCB",37,1,6,1,"Student"
"BOC",28,1,3,4,"Retired"
"CCB",51,1,7,4,"Education"
"CCB",44,0,6,2,"Government"
"BOC",46,0,1,4,"Education"
"BOC",47,0,4,5,"Unemployed"
"BOC",31,0,2,3,"Education"
"CCB",48,0,2,5,"Industry"
"CCB",25,0,7,1,"Unemployed"
"CCB",68,0,6,1,"Unemployed"
"CCB",21,0,7,1,"Retired"
"BOC",56,1,2,1,"Service"
"BOC",43,1,4,5,"Service"
"CCB",61,1,5,2,"Industry"
"BOC",42,1,1,3,"Education"
"CCB",61,0,1,3,"Government"
"BOC",37,1,4,5,"Student"
"ICBC",42,0,5,4,"Industry"
"CCB",21,0,3,3,"Industry"
"CCB",35,1,4,4,"Finance"
"CCB",23,0,5,3,"Service"
"CCB",37,1,6,4,"Unemployed"
"CCB",58,0,6,4,"Unemployed"
"ICBC",51,0,2,3,"Retired"
"BOC",53,1,3,5,"Unemployed"
"BOC",71,1,3,4,"Service"
"BOC",62,0,2,5,"Unemployed"
"BOC",24,1,4,5,"Government"
"ABC",55,1,4,3,"Retired"
"BOC",72,1,4,5,"Industry"
"ICBC",75,0,2,1,"Student"
"BOC",26,1,7,5,"Government"
"CCB",58,0,5,5,"Unemployed"
"CCB",53,0,3,5,"Education"
"CCB",46,1,5,5,"Finance"
"CCB",19,1,2,1,"Government"
"BOC",18,0,5,2,"Industry"
"CCB",32,0,5,3,"Finance"
"BOC",40,0,4,3,"Finance"
"ABC",42,0,1,1,"Unemployed"
"BOC",45,1,3,1,"Education"
"BOC",67,0,5,1,"Unemployed"
"BOC",43,1,1,3,"Education"
"BOC",74,1,5,5,"Industry"
"CCB",37,1,7,5,"Retired"
"CCB",38,0,1,5,"Finance"
"CCB",47,1,5,4,"Finance"
"ICBC",69,1,4,2,"Service"
"CCB",43,1,7,5,"Education"
"CCB",54,1,3,1,"Student"
"CCB",39,1,2,2,"Service"
"BOC",73,0,3,4,"Industry"
"ICBC",26,1,2,1,"Industry"
"CCB",63,1,7,1,"Industry"
"CCB",64,1,5,1,"Education"
"CCB",58,0,6,1,"Industry"
"CCB",23,1,1,3,"Education"
"CCB",28,0,3,5,"Education"
"BOC",47,0,3,5,"Education"
"ICBC",29,0,6,1,"Industry"
"BOC",55,0,7,1,"Unemployed"
"CCB",70,0,6,2,"Service"
"CCB",52,0,4,4,"Industry"
"CCB",56,0,7,1,"Student"
"BOC",30,1,4,4,"Industry"
"CCB",67,1,6,2,"Retired"
"BOC",25,1,3,3,"Unemployed"
"CCB",63,0,5,4,"Service"
"CCB",42,1,6,5,"Service"
"CCB",43,0,2,2,"Finance"
"BOC",63,0,5,3,"Finance"
"BOC",36,0,1,3,"Finance"
"BOC",40,1,5,3,"Student"
"CCB",66,0,7,2,"Retired"
"CCB",35,1,3,3,"Education"
"ICBC",22,0,7,1,"Retired"
"ABC",30,1,1,3,"Retired"
"BOC",36,1,7,1,"Education"
"BOC",23,0,1,5,"Industry"
"ABC",34,1,2,1,"Retired"
"CCB",51,0,6,4,"Government"
"CCB",60,1,5,2,"Finance"
"CCB",58,1,6,4,"Student"
"CCB",72,1,3,2,"Service"
"BOC",22,1,3,5,"Unemployed"
"CCB",48,0,7,2,"Finance"
"BOC",42,1,5,1,"Education"
"BOC",62,1,4,5,"Student"
"BOC",47,1,2,5,"Education"
"CCB",31,1,3,3,"Education"
"CCB",33,0,3,1,"Unemployed"
"BOC",71,1,2,4,"Unemployed"
"BOC",41,1,3,3,"Government"
"BOC",21,1,5,5,"Education"
"BOC",19,0,2,2,"Student"
"CCB",44,0,3,2,"Education"
"ICBC",33,1,1,2,"Retired"
"CCB",50,0,7,4,"Industry"
"CCB",49,0,5,4,"Service"
"BOC",28,1,4,5,"Student"
"BOC",43,1,6,3,"Government"
"CCB",24,0,4,3,"Student"
"BOC",42,1,6,3,"Student"
"CCB",60,0,2,3,"Government"
"CCB",64,1,3,2,"Unemployed"
"CCB",46,0,7,5,"Industry"
"BOC",18,1,6,4,"Finance"
"CCB",39,0,5,2,"Student"
"CCB",24,0,3,3,"Retired"
"CCB",42,0,6,3,"Service"
"BOC",36,0,2,1,"Finance"
"CCB",67,1,5,3,"Student"
"CCB",63,0,7,3,"Service"
"BOC",48,1,7,2,"Unemployed"
"BOC",34,1,5,4,"Retired"
"BOC",35,0,2,1,"Student"
"BOC",64,0,5,5,"Student"
"BOC",30,0,1,4,"Unemployed"
"CCB",35,0,5,3,"Government"
"CCB",32,1,1,3,"Unemployed"
"BOC",65,0,3,5,"Unemployed"
"BOC",52,0,4,4,"Retired"
"ICBC",64,0,2,1,"Retired"
"BOC",51,1,3,5,"Industry"
"BOC",18,0,3,4,"Student"
"CCB",65,1,7,3,"Government"
"CCB",38,1,6,4,"Education"
"BOC",64,0,6,4,"Government"
"CCB",67,1,2,3,"Student"
"ICBC",44,1,6,1,"Unemployed"
"CCB",59,1,1,5,"Industry"
"CCB",74,0,5,5,"Education"
"BOC",42,1,6,5,"Industry"
"BOC",20,0,5,5,"Finance"
"CCB",61,0,5,5,"Industry"
"CCB",60,1,4,3,"Education"
"BOC",63,1,1,5,"Education"
"CCB",57,1,6,3,"Education"
"CCB",52,0,1,3,"Service"
"BOC",74,0,1,2,"Education"
"BOC",28,1,4,3,"Industry"
"CCB",48,1,6,2,"Student"
"CCB",60,1,6,3,"Student"
